Ticker,CCASS ID,Date,Shareholding,% of Total Issued Shares/Warrants/Units,DoD Change
412,B01425,2020/08/24,479112,0.001988892664538616,0.0
412,B01700,2020/08/24,478096,0.001984675039124994,0.0017185993319286243
412,B01963,2020/08/24,468000,0.001942764462180184,0.0
412,C00048,2020/08/24,363200,0.0015077180612475276,0.0
412,B01181,2020/08/24,361320,0.0014999137937498806,0.0
412,B01633,2020/08/24,330100,0.001370313138815553,2.490723669461791e-05
412,B01523,2020/08/24,301340,0.0012509244509260186,0.0
412,C00041,2020/08/24,299552,0.0012435020943910224,0.0
412,B01563,2020/08/24,240316,0.000997601248917293,0.0
412,B01891,2020/08/24,228000,0.0009464749943954744,2.4907236694617692e-05
412,B02067,2020/08/24,222000,0.0009215677577008567,-2.4907236694617692e-05
412,B01623,2020/08/24,212976,0.0008841072737121513,0.0
412,B01540,2020/08/24,211716,0.0008788767540062818,0.0
412,B01341,2020/08/24,210004,0.0008717698891360843,0.0
412,B01900,2020/08/24,210000,0.0008717532843116211,0.0
412,B02077,2020/08/24,198000,0.0008219388109223856,0.0
412,B01696,2020/08/24,180876,0.0007508535573959465,0.0
412,B01497,2020/08/24,179776,0.0007462872306686,0.0
412,B01271,2020/08/24,153668,0.0006379075413980866,0.0
412,B01818,2020/08/24,139141,0.0005776029701543013,0.0
412,B01275,2020/08/24,138604,0.0005753737724701329,0.0
412,B01423,2020/08/24,127560,0.0005295278521275734,0.0
412,B01240,2020/08/24,122108,0.0005068954763843973,0.0
412,B01338,2020/08/24,100168,0.00041581801420441166,0.0
412,B01407,2020/08/24,95412,0.0003960748779178113,0.0
412,B01649,2020/08/24,79188,0.000328725709895565,0.0
412,B01373,2020/08/24,75336,0.0003127352639376204,0.0
412,B01340,2020/08/24,70311,0.00029187545320587797,0.0
412,B01433,2020/08/24,66600,0.000276470327310257,0.0
412,B01417,2020/08/24,66144,0.00027457737732146603,0.0
412,B01714,2020/08/24,64800,0.00026899815630187157,0.0
412,C00003,2020/08/24,63664,0.0002642823861543573,0.0
412,B01738,2020/08/24,63600,0.0002640167089629481,0.0
412,B01445,2020/08/24,62208,0.0002582382300497968,0.0
