% of Total Issued Shares/Warrants/Units,CCASS ID,Date,DoD Change,Shareholding,Ticker
0.0,B01340,2020/07/20,0.0,"6,910",700
0.0,B01679,2020/07/20,0.0,"6,384",700
0.0,B01769,2020/07/20,0.0,"3,880",700
0.0,B02093,2020/07/20,0.0,"1,801",700
0.0,B01832,2020/07/20,0.0,450,700
19.91,C00019,2020/07/20,0.010000000000001563,"1,170,363,061",3690
9.86,C00100,2020/07/20,0.16000000000000014,"579,757,715",3690
7.96,C00010,2020/07/20,-0.15999999999999925,"467,848,817",3690
7.4,B01224,2020/07/20,-0.040000000000000036,"435,393,022",3690
3.51,B01274,2020/07/20,-0.020000000000000018,"206,458,515",3690
2.92,B01161,2020/07/20,-0.03000000000000025,"172,121,932",3690
2.69,A00003,2020/07/20,-0.03000000000000025,"158,397,854",3690
2.66,B01451,2020/07/20,-0.06000000000000005,"156,499,783",3690
2.42,C00039,2020/07/20,0.0,"142,596,223",3690
1.75,A00004,2020/07/20,-0.020000000000000018,"103,134,079",3690
1.48,B01912,2020/07/20,-0.010000000000000009,"87,567,450",3690
0.96,C00074,2020/07/20,0.16999999999999993,"56,784,529",3690
0.5,C00093,2020/07/20,0.0,"29,548,918",3690
0.44,B01955,2020/07/20,0.010000000000000009,"26,244,803",3690
0.4,B01590,2020/07/20,0.0,"23,907,571",3690
0.31,B01130,2020/07/20,0.010000000000000009,"18,330,665",3690
0.25,C00015,2020/07/20,0.0,"14,885,812",3690
0.16,C00033,2020/07/20,0.010000000000000009,"9,670,169",3690
0.1,B01565,2020/07/20,0.0,"6,140,689",3690
0.1,C00040,2020/07/20,0.0,"5,883,886",3690
0.09,B01284,2020/07/20,0.0,"5,737,626",3690
0.09,B01376,2020/07/20,0.0,"5,467,800",3690
0.08,B01491,2020/07/20,-0.020000000000000004,"5,175,117",3690
0.06,B01929,2020/07/20,0.0,"3,672,200",3690
0.05,B01901,2020/07/20,0.0,"3,207,169",3690
0.04,B01143,2020/07/20,0.0,"2,906,600",3690
0.04,C00042,2020/07/20,0.0,"2,882,798",3690
0.04,B01353,2020/07/20,0.0,"2,584,829",3690
0.04,B01938,2020/07/20,0.0,"2,408,889",3690
0.03,B01089,2020/07/20,0.0,"2,016,612",3690
0.03,C00036,2020/07/20,0.0,"1,951,400",3690
0.03,B01086,2020/07/20,0.0,"1,914,552",3690
0.02,B01654,2020/07/20,-0.009999999999999998,"1,740,539",3690
0.02,B01121,2020/07/20,0.0,"1,590,437",3690
0.02,C00016,2020/07/20,0.0,"1,555,876",3690
0.02,B01842,2020/07/20,0.0,"1,524,792",3690
0.02,C00088,2020/07/20,0.0,"1,455,811",3690
0.02,B01228,2020/07/20,0.0,"1,448,904",3690
0.02,B01148,2020/07/20,0.0,"1,340,055",3690
0.02,B01826,2020/07/20,0.0,"1,318,500",3690
0.01,B01668,2020/07/20,0.0,"1,033,700",3690
0.01,C00003,2020/07/20,0.0,"972,940",3690
0.01,B01115,2020/07/20,0.0,"936,200",3690
0.01,B01345,2020/07/20,0.0,"882,620",3690
0.01,B01272,2020/07/20,0.0,"840,500",3690
0.01,B01727,2020/07/20,0.0,"805,160",3690
0.01,B01610,2020/07/20,0.0,"782,500",3690
0.01,C00058,2020/07/20,0.0,"674,700",3690
0.0,B01905,2020/07/20,0.0,"580,377",3690
0.0,C00028,2020/07/20,0.0,"499,200",3690
0.0,B01584,2020/07/20,0.0,"490,755",3690
0.0,B01825,2020/07/20,0.0,"480,600",3690
0.0,B01890,2020/07/20,0.0,"476,600",3690
0.0,C00037,2020/07/20,0.0,"452,950",3690
0.0,C00002,2020/07/20,0.0,"399,600",3690
0.0,B01695,2020/07/20,-0.01,"393,588",3690
0.0,B01686,2020/07/20,0.0,"392,500",3690
0.0,B01118,2020/07/20,0.0,"375,200",3690
0.0,B01338,2020/07/20,0.0,"370,100",3690
0.0,C00102,2020/07/20,0.0,"285,000",3690
0.0,B01900,2020/07/20,0.0,"275,000",3690
0.0,B01445,2020/07/20,0.0,"264,200",3690
0.0,B01119,2020/07/20,0.0,"227,200",3690
0.0,B01885,2020/07/20,0.0,"226,200",3690
0.0,B01904,2020/07/20,0.0,"225,012",3690
0.0,B02176,2020/07/20,0.0,"215,300",3690
0.0,B01183,2020/07/20,0.0,"211,846",3690
0.0,B01184,2020/07/20,0.0,"191,200",3690
0.0,B01623,2020/07/20,0.0,"185,300",3690
0.0,B02120,2020/07/20,0.0,"182,240",3690
0.0,B02142,2020/07/20,0.0,"174,475",3690
0.0,B01264,2020/07/20,0.0,"172,300",3690
0.0,B01849,2020/07/20,0.0,"170,800",3690
0.0,B02159,2020/07/20,0.0,"164,715",3690
0.0,B02102,2020/07/20,0.0,"164,000",3690
0.0,B01818,2020/07/20,0.0,"160,052",3690
0.0,B02132,2020/07/20,0.0,"154,500",3690
0.0,B01939,2020/07/20,0.0,"153,500",3690
0.0,B01581,2020/07/20,0.0,"145,000",3690
0.0,B01649,2020/07/20,0.0,"127,200",3690
0.0,B01673,2020/07/20,0.0,"120,300",3690
0.0,C00048,2020/07/20,0.0,"120,200",3690
0.0,C00095,2020/07/20,0.0,"112,470",3690
0.0,B01265,2020/07/20,0.0,"112,100",3690
0.0,B01813,2020/07/20,0.0,"103,900",3690
0.0,B01773,2020/07/20,0.0,"88,300",3690
0.0,B01894,2020/07/20,0.0,"76,030",3690
0.0,B01858,2020/07/20,0.0,"72,900",3690
0.0,B01959,2020/07/20,0.0,"66,300",3690
0.0,B01413,2020/07/20,0.0,"62,500",3690
0.0,B01343,2020/07/20,0.0,"49,900",3690
0.0,B01941,2020/07/20,0.0,"49,006",3690
0.0,B01829,2020/07/20,0.0,"47,700",3690
0.0,B01777,2020/07/20,0.0,"46,400",3690
0.0,B01940,2020/07/20,0.0,"46,000",3690
0.0,B01289,2020/07/20,0.0,"44,871",3690
0.0,B01848,2020/07/20,0.0,"44,500",3690
0.0,B01217,2020/07/20,0.0,"44,300",3690
0.0,B01173,2020/07/20,0.0,"43,600",3690
0.0,B01564,2020/07/20,0.0,"41,100",3690
0.0,B01137,2020/07/20,0.0,"35,100",3690
0.0,C00026,2020/07/20,0.0,"26,800",3690
0.0,B01897,2020/07/20,0.0,"23,701",3690
0.0,B01439,2020/07/20,0.0,"9,900",3690
0.0,B01198,2020/07/20,0.0,"7,400",3690
0.0,B01340,2020/07/20,0.0,"5,909",3690
0.0,B01981,2020/07/20,0.0,"2,902",3690
0.0,B01240,2020/07/20,0.0,"1,171",3690
0.0,B01769,2020/07/20,0.0,847,3690
24.9,C00019,2020/07/20,-0.0400000000000027,"5,999,331,633",1810
9.21,C00100,2020/07/20,0.010000000000001563,"2,218,375,085",1810
6.73,C00010,2020/07/20,0.010000000000000675,"1,621,937,089",1810
4.49,A00003,2020/07/20,0.14000000000000057,"1,083,563,600",1810
3.82,A00004,2020/07/20,0.0,"921,170,617",1810
2.99,B01130,2020/07/20,-0.019999999999999574,"722,555,532",1810
2.73,B01161,2020/07/20,-0.010000000000000231,"659,367,114",1810
2.39,C00039,2020/07/20,0.0,"577,237,534",1810
1.95,B01274,2020/07/20,-0.010000000000000009,"471,784,857",1810
1.54,B01451,2020/07/20,0.030000000000000027,"371,206,842",1810
1.45,B01590,2020/07/20,0.030000000000000027,"351,313,781",1810
1.25,C00033,2020/07/20,0.010000000000000009,"301,258,654",1810
0.72,C00074,2020/07/20,0.0,"174,695,022",1810
0.58,B01228,2020/07/20,0.0,"141,113,490",1810
0.56,B01284,2020/07/20,0.0,"136,358,093",1810
0.5,C00102,2020/07/20,0.010000000000000009,"120,623,130",1810
0.32,B01955,2020/07/20,-0.010000000000000009,"79,045,176",1810
0.32,B01224,2020/07/20,-0.020000000000000018,"78,869,480",1810
0.29,C00093,2020/07/20,0.0,"71,319,853",1810
0.29,B01826,2020/07/20,0.0,"70,486,200",1810
0.28,B01654,2020/07/20,-0.009999999999999953,"68,509,354",1810
0.23,B01565,2020/07/20,-0.009999999999999981,"57,371,183",1810
0.22,B01086,2020/07/20,0.0,"54,718,809",1810
0.2,B01143,2020/07/20,-0.01999999999999999,"49,505,000",1810
0.2,C00016,2020/07/20,0.0,"49,379,916",1810
0.18,B01901,2020/07/20,0.0,"44,824,538",1810
0.17,B01967,2020/07/20,0.0,"42,053,532",1810
0.16,C00042,2020/07/20,0.0,"40,538,985",1810
0.16,C00026,2020/07/20,0.0,"40,416,000",1810
0.16,B01491,2020/07/20,-0.01999999999999999,"40,140,187",1810
0.16,B01353,2020/07/20,0.0,"39,851,082",1810
0.14,B01089,2020/07/20,0.0,"35,673,661",1810
0.14,C00003,2020/07/20,0.0,"34,837,227",1810
0.12,B01115,2020/07/20,0.0,"29,945,000",1810
0.12,B01938,2020/07/20,0.0,"29,894,800",1810
0.12,C00088,2020/07/20,0.0,"29,625,105",1810
0.11,B01912,2020/07/20,0.0,"28,595,179",1810
0.11,B01148,2020/07/20,0.0,"27,888,106",1810
0.11,B01727,2020/07/20,0.0,"27,155,820",1810
0.09,C00028,2020/07/20,0.0,"22,704,355",1810
0.09,B01345,2020/07/20,0.0,"21,872,537",1810
0.09,B01272,2020/07/20,0.0,"21,772,600",1810
0.08,B01668,2020/07/20,-0.009999999999999995,"20,343,800",1810
0.08,C00002,2020/07/20,0.0,"20,239,072",1810
0.08,C00015,2020/07/20,0.0,"19,522,374",1810
0.07,C00036,2020/07/20,0.0,"18,741,600",1810
0.07,C00037,2020/07/20,0.0,"17,664,371",1810
0.05,C00058,2020/07/20,0.0,"13,474,600",1810
0.05,B01209,2020/07/20,-0.009999999999999995,"13,456,049",1810
0.05,B01842,2020/07/20,0.0,"13,198,400",1810
